CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12347,3,7,3643.58,5,5,5,555
12348,76,4,450.2,2,4,3,243
12349,19,1,1667.55,4,1,4,414
12350,311,1,334.4,1,1,2,112
12352,37,8,2506.04,3,5,5,355
12353,205,1,89.0,1,1,1,111
12354,233,1,916.84,1,1,4,114
12355,215,1,264.4,1,1,2,112
12356,23,3,1986.59,4,3,5,435
12357,34,1,4327.21,3,1,5,315
12358,2,2,1154.02,5,2,4,524
12359,58,4,6310.03,3,4,5,345
12360,53,3,2638.66,3,3,5,335
12361,288,1,189.9,1,1,1,111
12362,4,10,5158.79,5,5,5,555
12363,110,2,532.2,2,2,3,223
12364,8,4,1233.18,5,4,4,544
12365,292,2,641.38,1,2,3,123
12367,5,1,156.3,5,1,1,511
12370,52,4,2915.96,3,4,5,345
12371,45,2,1747.26,3,2,5,325
12372,72,3,1119.84,3,3,4,334
12373,312,1,339.1,1,1,2,112
12374,26,1,742.9300000000001,4,1,3,413
12375,11,2,395.1,5,2,2,522
12377,316,2,1628.12,1,2,4,124
12378,130,1,3835.34,2,1,5,215
12379,82,2,811.44,2,2,4,224
12380,22,4,2267.85,4,4,5,445
12381,5,5,1821.91,5,4,5,545
12383,185,5,1679.44,1,4,5,145
12384,29,2,585.27,4,2,3,423
12386,367,1,215.7,1,1,2,112
12388,16,6,2533.6,4,5,5,455
12390,80,1,526.44,2,1,3,213
12391,22,1,433.78000000000003,4,1,3,413
12393,73,4,1193.5,2,4,4,244
12394,64,2,543.0799999999999,3,2,3,323
12395,20,12,2468.67,4,5,5,455
12397,36,2,2372.46,3,2,5,325
12398,46,1,1597.1399999999999,3,1,4,314
12399,120,4,804.15,2,4,4,244
12401,304,1,84.3,1,1,1,111
12402,324,1,225.6,1,1,2,112
12403,50,1,128.9,3,1,1,311
12405,149,1,1586.0700000000002,2,1,4,214
12406,23,2,3051.18,4,2,5,425
12407,50,5,1417.36,3,4,4,344
12408,33,5,2327.91,4,4,5,445
12409,79,3,3452.39,2,3,5,235
12410,309,2,693.3299999999999,1,2,3,123
12412,75,3,1199.04,2,3,4,234
12413,67,3,758.1,3,3,3,333
12414,218,3,463.65,1,3,3,133
12415,25,12,8255.71,4,5,5,455
12417,4,9,3521.3,5,5,5,555
12418,113,1,654.66,2,1,3,213
12420,64,1,570.15,3,1,3,313
12421,16,4,788.32,4,4,4,444
12422,96,3,803.5600000000001,2,3,4,234
12423,1,8,1859.31,5,5,5,555
12424,163,2,703.72,2,2,3,223
12425,79,1,580.64,2,1,3,213
12426,195,1,582.73,1,1,3,113
12427,22,3,765.32,4,3,3,433
12428,26,9,7583.08,4,5,5,455
12429,10,4,3196.84,5,4,5,545
12430,44,1,256.4,3,1,2,312
12431,61,13,4725.65,3,5,5,355
12432,43,5,3721.28,3,4,5,345
12433,1,7,8451.57,5,5,5,555
12434,85,2,806.14,2,2,4,224
12435,268,1,1358.3999999999999,1,1,4,114
12436,100,1,509.01,2,1,3,213
12437,2,18,4390.79,5,5,5,555
12438,15,2,2866.17,5,2,5,525
12441,367,1,173.55,1,1,1,111
12442,4,1,172.06,5,1,1,511
12444,22,5,5005.46,4,4,5,445
12445,23,1,133.4,4,1,1,411
12446,58,1,1002.3100000000001,3,1,4,314
12447,244,1,476.49,1,1,3,113
12448,45,1,449.45,3,1,3,313
12449,23,4,4067.29,4,4,5,445
12450,157,2,131.88,2,2,1,221
12451,11,5,6776.76,5,4,5,545
12452,17,2,430.57,4,2,3,423
12453,135,1,707.09,2,1,3,213
12454,57,1,581.7,3,1,3,313
12455,74,6,1396.8600000000001,2,5,4,254
12456,45,3,2839.44,3,3,5,335
12457,86,4,1532.53,2,4,4,244
12458,72,2,823.38,3,2,4,324
12461,95,2,826.88,2,2,4,224
12462,19,2,1152.15,4,2,4,424
12463,54,4,1344.78,3,4,4,344
12464,11,8,1212.05,5,5,4,554
12465,18,2,701.39,4,2,3,423
12468,188,2,706.14,1,2,3,123
12471,3,29,12256.33,5,5,5,555
12472,33,7,6095.53,4,5,5,455
12473,30,5,3694.77,4,4,5,445
12474,18,18,7109.05,4,5,5,455
12475,54,1,663.64,3,1,3,313
12476,16,11,6346.18,4,5,5,455
12477,23,6,10522.54,4,5,5,455
12478,4,1,680.99,5,1,3,513
12479,12,1,527.2,5,1,3,513
12480,29,4,2836.79,4,4,5,445
12481,23,10,4775.6,4,5,5,455
12483,18,8,2060.54,4,5,5,455
12484,33,6,4423.88,4,5,5,455
12488,10,3,1239.26,5,3,4,534
12489,337,1,334.93,1,1,2,112
12490,6,10,4927.61,5,5,5,555
12491,39,1,413.6,3,1,3,313
12492,64,2,263.21000000000004,3,2,2,322
12493,166,2,403.86,2,2,2,222
12494,16,7,1246.1000000000001,4,5,4,454
12497,82,1,110.4,2,1,1,211
12498,22,3,403.70000000000005,4,3,2,432
12500,24,11,779.14,4,5,3,453
12501,337,1,2140.11,1,1,5,115
12502,96,5,3683.07,2,4,5,245
12504,19,2,482.04999999999995,4,2,3,423
12506,233,1,73.5,1,1,1,111
12507,135,3,666.25,2,3,3,233
12508,27,2,397.88,4,2,2,422
12509,285,1,176.5,1,1,1,111
12510,143,2,819.85,2,2,4,224
12512,67,2,132.18,3,2,1,321
12513,113,1,612.29,2,1,3,213
12514,268,1,1017.68,1,1,4,114
12515,354,1,383.7,1,1,2,112
12516,78,2,396.48,2,2,2,222
12517,29,5,2481.6,4,4,5,445
12518,1,5,2056.89,5,4,5,545
12519,64,1,330.84,3,1,2,312
12520,80,5,2634.26,2,4,5,245
12521,143,1,599.68,2,1,3,213
12522,40,2,188.72,3,2,1,321
12523,20,11,1769.6100000000001,4,5,5,455
12524,10,8,2544.86,5,5,5,555
12526,1,3,1316.66,5,3,4,534
12527,82,3,348.71000000000004,2,3,2,232
12528,10,6,1933.48,5,5,5,555
12530,60,4,1420.82,3,4,4,344
12531,15,1,125.22,5,1,1,511
12532,31,1,349.83000000000004,4,1,2,412
12534,131,1,1089.18,2,1,4,214
12535,92,2,716.35,2,2,3,223
12536,44,3,12494.19,3,3,5,335
12538,30,1,363.95,4,1,2,412
12539,23,4,5568.35,4,4,5,445
12540,20,17,12249.44,4,5,5,455
12541,30,3,950.58,4,3,4,434
12544,37,1,372.7,3,1,2,312
12545,76,2,986.35,2,2,4,224
12546,47,2,1149.98,3,2,4,324
12547,198,2,207.79999999999998,1,2,2,122
12548,167,1,95.19999999999999,2,1,1,211
12550,80,1,964.83,2,1,4,214
